Timestamp for sample frequency every 15 min,Temperature (°C)
2024-07-08 15:04:00,34.2425
2024-07-08 15:19:00,34.7150
2024-07-08 15:34:00,35.1750
2024-07-08 15:49:00,35.3300
2024-07-08 16:04:00,35.3150
2024-07-08 16:19:00,35.3825
2024-07-08 16:34:00,35.4950
2024-07-08 16:49:00,35.7925
2024-07-08 17:04:00,35.6850
2024-07-08 17:19:00,34.7350
2024-07-08 17:34:00,34.6175
2024-07-08 17:49:00,34.3525
2024-07-08 18:04:00,32.9500
2024-07-08 18:19:00,32.1400
2024-07-08 18:34:00,31.3275
2024-07-08 18:49:00,30.7625
2024-07-08 19:04:00,30.1775
2024-07-08 19:19:00,29.4850
2024-07-08 19:34:00,28.9100
2024-07-08 19:49:00,28.4500
2024-07-08 20:04:00,28.0100
2024-07-08 20:19:00,27.4825
2024-07-08 20:34:00,27.0250
2024-07-08 20:49:00,25.6700
2024-07-08 21:04:00,24.7975
2024-07-08 21:19:00,24.0700
2024-07-08 21:34:00,23.5575
2024-07-08 21:49:00,22.8300
2024-07-08 22:04:00,21.8275
2024-07-08 22:19:00,21.3950
2024-07-08 22:34:00,21.0050
2024-07-08 22:49:00,20.4800
2024-07-08 23:04:00,19.8275
2024-07-08 23:19:00,19.3450
2024-07-08 23:34:00,18.8900
2024-07-08 23:49:00,18.6225
2024-07-09 00:04:00,18.4275
2024-07-09 00:19:00,18.0625
2024-07-09 00:34:00,17.8425
2024-07-09 00:49:00,17.5825
2024-07-09 01:04:00,17.5625
2024-07-09 01:19:00,17.4525
2024-07-09 01:34:00,17.2400
2024-07-09 01:49:00,17.0850
2024-07-09 02:04:00,16.8750
2024-07-09 02:19:00,16.3275
2024-07-09 02:34:00,15.8150
2024-07-09 02:49:00,15.8250
